t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
0.000000000000000000e+00	9.990000000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	9.969570833333332848e+04	3.679166666666666430e+01	9.429166666666667140e+01	0.000000000000000000e+00	1.618333333333333428e+02	1.250000000000000000e-01	1.125000000000000000e+01	0.000000000000000000e+00	2.464166666666666572e+02	1.098375000000000000e+03	3.458333333333333570e+01	5.750000000000000000e+00	2.083333333333333426e-01	6.863750000000000000e+02	4.940000000000000000e+02	2.472916666666666572e+02
2.000000000000000000e+00	9.823383333333332848e+04	6.266666666666666430e+01	1.010833333333333286e+02	4.166666666666666852e-01	1.580083333333333258e+03	5.416666666666666297e-01	2.120833333333333215e+01	1.666666666666666574e-01	4.662500000000000000e+02	1.454333333333333258e+03	5.654166666666666430e+01	1.966666666666666785e+01	1.666666666666666741e+00	1.897208333333333258e+03	9.661666666666666288e+02	5.103333333333333144e+02
3.000000000000000000e+00	9.327529166666667152e+04	8.000000000000000000e+01	1.105833333333333286e+02	1.083333333333333259e+00	6.496125000000000000e+03	1.666666666666666741e+00	3.462500000000000000e+01	6.250000000000000000e-01	6.612083333333333712e+02	6.761666666666666288e+02	6.837500000000000000e+01	3.629166666666666430e+01	4.458333333333333037e+00	1.492666666666666742e+03	1.428000000000000000e+03	7.628750000000000000e+02
4.000000000000000000e+00	8.819704166666667152e+04	9.454166666666667140e+01	1.225000000000000000e+02	2.791666666666666519e+00	1.152758333333333394e+04	4.791666666666666963e+00	4.812500000000000000e+01	2.625000000000000000e+00	8.285833333333333712e+02	2.602916666666666856e+02	8.029166666666667140e+01	5.175000000000000000e+01	8.000000000000000000e+00	8.037500000000000000e+02	1.861458333333333258e+03	9.870833333333333712e+02
5.000000000000000000e+00	8.381300000000000000e+04	1.038333333333333286e+02	1.340833333333333428e+02	5.541666666666666963e+00	1.586462500000000000e+04	7.791666666666666963e+00	6.525000000000000000e+01	5.875000000000000000e+00	9.713750000000000000e+02	1.543333333333333428e+02	8.733333333333332860e+01	6.729166666666667140e+01	1.316666666666666607e+01	4.872500000000000000e+02	2.280250000000000000e+03	1.193458333333333258e+03
6.000000000000000000e+00	7.988904166666667152e+04	1.122083333333333286e+02	1.493333333333333428e+02	8.541666666666666075e+00	1.973770833333333212e+04	9.791666666666666075e+00	8.304166666666667140e+01	1.033333333333333393e+01	1.095041666666666742e+03	1.054166666666666714e+02	9.520833333333332860e+01	7.812500000000000000e+01	1.904166666666666785e+01	3.262916666666666856e+02	2.691333333333333485e+03	1.379500000000000000e+03
7.000000000000000000e+00	7.631916666666667152e+04	1.184583333333333286e+02	1.580833333333333428e+02	1.345833333333333393e+01	2.325616666666666788e+04	1.379166666666666607e+01	1.034583333333333286e+02	1.741666666666666785e+01	1.204375000000000000e+03	7.695833333333332860e+01	1.022083333333333286e+02	8.650000000000000000e+01	2.625000000000000000e+01	2.391666666666666572e+02	3.085291666666666515e+03	1.551958333333333258e+03
8.000000000000000000e+00	7.319625000000000000e+04	1.253750000000000000e+02	1.688750000000000000e+02	1.995833333333333215e+01	2.632195833333333212e+04	1.629166666666666785e+01	1.259583333333333286e+02	2.533333333333333215e+01	1.301500000000000000e+03	5.887500000000000000e+01	1.087083333333333286e+02	9.445833333333332860e+01	3.154166666666666785e+01	1.916250000000000000e+02	3.467958333333333485e+03	1.714000000000000000e+03
9.000000000000000000e+00	7.044583333333332848e+04	1.276666666666666714e+02	1.797916666666666572e+02	2.629166666666666785e+01	2.901804166666666788e+04	1.950000000000000000e+01	1.454166666666666572e+02	3.745833333333333570e+01	1.374833333333333258e+03	4.954166666666666430e+01	1.087083333333333286e+02	1.020416666666666714e+02	3.716666666666666430e+01	1.492500000000000000e+02	3.834791666666666515e+03	1.856125000000000000e+03
