t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	4.655997849250170617e+01	1.525250434810260458e+00	1.480779636993071691e+00	0.000000000000000000e+00	4.637660973546422838e+01	0.000000000000000000e+00	1.471370298584131264e+00	0.000000000000000000e+00	1.809921537587257490e+01	1.779513042005218537e+00	1.499421184620548519e+00	6.332785063987776963e-01	1.998263134713633982e-01	2.619040854969620469e+00	8.077282959015364838e+01	0.000000000000000000e+00
2.000000000000000000e+00	6.556289389247208987e+01	2.248456260538673313e+00	1.978618345097294062e+00	0.000000000000000000e+00	6.472536800891046482e+01	1.998263134713633982e-01	1.490711984999860018e+00	1.998263134713633149e-01	2.199143614884869180e+01	8.887803753208973756e-01	1.963203164898291053e+00	1.378782675647858058e+00	1.998263134713633982e-01	1.240939384319619476e+00	1.298449930579620855e+02	0.000000000000000000e+00
3.000000000000000000e+00	8.960119008076227942e+01	2.637536203016410674e+00	2.006499854639084646e+00	1.998263134713633704e-01	8.819167099751162198e+01	2.763853991962832435e-01	1.580589728199221611e+00	3.307189138830738395e-01	2.495242000065101706e+01	7.058780977540592971e-01	2.295829552325985290e+00	1.847953071794723900e+00	5.527707983925664870e-01	9.965217285917831180e-01	1.638882368160285807e+02	0.000000000000000000e+00
4.000000000000000000e+00	1.090107028384522181e+02	2.605749518959095568e+00	2.650668154761487205e+00	4.330127018922192983e-01	1.071889556914434252e+02	5.713045500334200666e-01	2.034425935955617160e+00	5.204164998665331554e-01	2.701337117470202642e+01	4.330127018922192983e-01	2.153807997220014148e+00	1.859192626443591845e+00	9.428090415820632453e-01	6.757197808427855001e-01	1.955474109533428759e+02	0.000000000000000000e+00
5.000000000000000000e+00	1.274269330396399766e+02	3.095415516893042618e+00	2.234514612965320168e+00	4.982608642958916145e-01	1.246712064681425289e+02	7.993052538854532596e-01	2.406227452996818617e+00	8.620067027323834452e-01	2.215601247717848921e+01	5.384519993050035369e-01	2.325880956158810076e+00	1.936491673103708511e+00	9.270248108869578729e-01	7.626252174051304511e-01	2.089231941208698515e+02	0.000000000000000000e+00
6.000000000000000000e+00	1.479694448094680865e+02	3.730504880933231959e+00	3.276335605520289018e+00	6.614378277661476790e-01	1.443917318346941272e+02	7.592027982620249693e-01	2.645423196558329249e+00	1.053268721647044881e+00	2.680899517367673113e+01	6.871842709362766533e-01	2.842815017235948094e+00	2.498610725094158269e+00	9.344858955002416367e-01	7.216878364870322748e-01	2.443078623319810561e+02	0.000000000000000000e+00
7.000000000000000000e+00	1.713895366231232060e+02	3.274480450731416692e+00	3.914893215515448333e+00	1.076903998610006852e+00	1.678364779579616197e+02	1.105541596785133196e+00	2.481878768639238064e+00	1.413599621140614326e+00	3.439514561194161502e+01	4.982608642958915590e-01	3.740729281243906357e+00	2.482927819239929779e+00	9.090593428863095182e-01	5.204164998665331554e-01	2.514666665285878366e+02	0.000000000000000000e+00
8.000000000000000000e+00	1.891927845405903099e+02	2.998842369241097039e+00	4.202966875381669354e+00	1.252081600109726578e+00	1.843361964816821796e+02	1.536025715930563473e+00	2.533114025595110785e+00	1.695070467233999345e+00	2.895731413074538807e+01	3.726779962499648935e-01	3.075158080850840303e+00	2.074983266331455578e+00	1.322219304385202410e+00	5.713045500334201776e-01	2.342174766939668302e+02	0.000000000000000000e+00
9.000000000000000000e+00	2.067380547066477732e+02	3.746989532352012819e+00	4.965855638479860445e+00	1.428261375083550888e+00	1.987807104156068192e+02	1.682735042192389230e+00	4.387284341011976174e+00	1.306367950549240264e+00	2.892074899137680077e+01	4.330127018922192983e-01	4.060095442227928508e+00	3.031947943704399240e+00	1.658312395177699905e+00	5.204164998665331554e-01	2.632615111707157212e+02	0.000000000000000000e+00
1.000000000000000000e+01	2.316776338830890722e+02	3.604588125647028019e+00	5.373384770225270834e+00	1.413599621140614548e+00	2.226572127172169644e+02	1.280190957978101451e+00	5.055250296034366819e+00	1.705790790871560159e+00	3.172002084208366313e+01	5.204164998665331554e-01	4.040592640800219293e+00	2.924988129130707382e+00	1.408678458698080505e+00	4.982608642958915035e-01	3.264425650308012337e+02	0.000000000000000000e+00
