case	INIT_I	k_result	m	thetaD	thetaI	thetaT
0	1000.0	0.5	10000.0	0.0	0.0	0.0
1	1000.0	0.5	10000.0	0.0	0.0	1.0
2	1000.0	0.5	10000.0	0.0	0.142857142857	0.0
3	1000.0	0.5	10000.0	0.0	0.142857142857	1.0
4	1000.0	0.5	10000.0	1.0	0.0	0.0
5	1000.0	0.5	10000.0	1.0	0.0	1.0
6	1000.0	0.5	10000.0	1.0	0.142857142857	0.0
7	1000.0	0.5	10000.0	1.0	0.142857142857	1.0
8	1000.0	0.5	500.0	0.0	0.0	0.0
9	1000.0	0.5	500.0	0.0	0.0	1.0
10	1000.0	0.5	500.0	0.0	0.142857142857	0.0
11	1000.0	0.5	500.0	0.0	0.142857142857	1.0
12	1000.0	0.5	500.0	1.0	0.0	0.0
13	1000.0	0.5	500.0	1.0	0.0	1.0
14	1000.0	0.5	500.0	1.0	0.142857142857	0.0
15	1000.0	0.5	500.0	1.0	0.142857142857	1.0
16	1000.0	12	10000.0	0.0	0.0	0.0
17	1000.0	12	10000.0	0.0	0.0	1.0
18	1000.0	12	10000.0	0.0	0.142857142857	0.0
19	1000.0	12	10000.0	0.0	0.142857142857	1.0
20	1000.0	12	10000.0	1.0	0.0	0.0
21	1000.0	12	10000.0	1.0	0.0	1.0
22	1000.0	12	10000.0	1.0	0.142857142857	0.0
23	1000.0	12	10000.0	1.0	0.142857142857	1.0
24	1000.0	12	500.0	0.0	0.0	0.0
25	1000.0	12	500.0	0.0	0.0	1.0
26	1000.0	12	500.0	0.0	0.142857142857	0.0
27	1000.0	12	500.0	0.0	0.142857142857	1.0
28	1000.0	12	500.0	1.0	0.0	0.0
29	1000.0	12	500.0	1.0	0.0	1.0
30	1000.0	12	500.0	1.0	0.142857142857	0.0
31	1000.0	12	500.0	1.0	0.142857142857	1.0
32	100.0	0.5	10000.0	0.0	0.0	0.0
33	100.0	0.5	10000.0	0.0	0.0	1.0
34	100.0	0.5	10000.0	0.0	0.142857142857	0.0
35	100.0	0.5	10000.0	0.0	0.142857142857	1.0
36	100.0	0.5	10000.0	1.0	0.0	0.0
37	100.0	0.5	10000.0	1.0	0.0	1.0
38	100.0	0.5	10000.0	1.0	0.142857142857	0.0
39	100.0	0.5	10000.0	1.0	0.142857142857	1.0
40	100.0	0.5	500.0	0.0	0.0	0.0
41	100.0	0.5	500.0	0.0	0.0	1.0
42	100.0	0.5	500.0	0.0	0.142857142857	0.0
43	100.0	0.5	500.0	0.0	0.142857142857	1.0
44	100.0	0.5	500.0	1.0	0.0	0.0
45	100.0	0.5	500.0	1.0	0.0	1.0
46	100.0	0.5	500.0	1.0	0.142857142857	0.0
47	100.0	0.5	500.0	1.0	0.142857142857	1.0
48	100.0	12	10000.0	0.0	0.0	0.0
49	100.0	12	10000.0	0.0	0.0	1.0
50	100.0	12	10000.0	0.0	0.142857142857	0.0
51	100.0	12	10000.0	0.0	0.142857142857	1.0
52	100.0	12	10000.0	1.0	0.0	0.0
53	100.0	12	10000.0	1.0	0.0	1.0
54	100.0	12	10000.0	1.0	0.142857142857	0.0
55	100.0	12	10000.0	1.0	0.142857142857	1.0
56	100.0	12	500.0	0.0	0.0	0.0
57	100.0	12	500.0	0.0	0.0	1.0
58	100.0	12	500.0	0.0	0.142857142857	0.0
59	100.0	12	500.0	0.0	0.142857142857	1.0
60	100.0	12	500.0	1.0	0.0	0.0
61	100.0	12	500.0	1.0	0.0	1.0
62	100.0	12	500.0	1.0	0.142857142857	0.0
63	100.0	12	500.0	1.0	0.142857142857	1.0
64	10.0	0.5	10000.0	0.0	0.0	0.0
65	10.0	0.5	10000.0	0.0	0.0	1.0
66	10.0	0.5	10000.0	0.0	0.142857142857	0.0
67	10.0	0.5	10000.0	0.0	0.142857142857	1.0
68	10.0	0.5	10000.0	1.0	0.0	0.0
69	10.0	0.5	10000.0	1.0	0.0	1.0
70	10.0	0.5	10000.0	1.0	0.142857142857	0.0
71	10.0	0.5	10000.0	1.0	0.142857142857	1.0
72	10.0	0.5	500.0	0.0	0.0	0.0
73	10.0	0.5	500.0	0.0	0.0	1.0
74	10.0	0.5	500.0	0.0	0.142857142857	0.0
75	10.0	0.5	500.0	0.0	0.142857142857	1.0
76	10.0	0.5	500.0	1.0	0.0	0.0
77	10.0	0.5	500.0	1.0	0.0	1.0
78	10.0	0.5	500.0	1.0	0.142857142857	0.0
79	10.0	0.5	500.0	1.0	0.142857142857	1.0
80	10.0	12	10000.0	0.0	0.0	0.0
81	10.0	12	10000.0	0.0	0.0	1.0
82	10.0	12	10000.0	0.0	0.142857142857	0.0
83	10.0	12	10000.0	0.0	0.142857142857	1.0
84	10.0	12	10000.0	1.0	0.0	0.0
85	10.0	12	10000.0	1.0	0.0	1.0
86	10.0	12	10000.0	1.0	0.142857142857	0.0
87	10.0	12	10000.0	1.0	0.142857142857	1.0
88	10.0	12	500.0	0.0	0.0	0.0
89	10.0	12	500.0	0.0	0.0	1.0
90	10.0	12	500.0	0.0	0.142857142857	0.0
91	10.0	12	500.0	0.0	0.142857142857	1.0
92	10.0	12	500.0	1.0	0.0	0.0
93	10.0	12	500.0	1.0	0.0	1.0
94	10.0	12	500.0	1.0	0.142857142857	0.0
95	10.0	12	500.0	1.0	0.142857142857	1.0
