# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '20' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-40-20.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '39' '-var' 'INIT_I' '100.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "172493080"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98481,29,92,0,1381,1,16,0,232,29,30,7,0,9,9850,1669
2.,97280,56,88,0,2545,2,29,0,480,15,47,20,1,5,19507,3739
3.,96232,78,90,1,3548,4,46,1,660,8,59,35,1,5,29171,6034
4.,95278,88,103,4,4461,10,54,2,820,7,60,41,2,4,38759,8512
5.,94280,92,122,5,5413,15,67,6,989,7,55,38,7,2,48230,11270
6.,93543,91,131,6,6112,12,96,9,1081,4,54,27,12,7,57336,14153
7.,92671,104,148,7,6927,25,105,13,1209,2,68,22,10,2,66286,17227
8.,92002,111,143,15,7541,28,134,26,1321,1,52,15,11,5,74973,20286
9.,91470,114,158,24,8016,27,156,35,1432,5,50,17,8,5,83563,23221
10.,91072,125,169,36,8350,41,166,41,1438,2,40,14,6,4,91903,25957
11.,90566,140,186,51,8778,39,189,51,1541,1,50,10,1,6,100027,28681
12.,90090,156,213,62,9171,39,194,75,1585,4,44,5,3,2,107871,31394
13.,89751,172,227,85,9427,38,207,93,1653,1,38,7,4,6,115588,33959
14.,89415,174,252,109,9682,44,223,101,1619,8,25,6,3,6,123031,36453
15.,89091,204,252,132,9911,39,249,122,1656,1,37,4,4,2,130430,38847
16.,88854,212,281,161,10042,44,277,129,1698,5,41,4,2,6,137710,41191
17.,88359,230,308,193,10420,54,298,138,1714,5,40,3,2,2,144647,43593
18.,88046,264,339,226,10613,60,308,144,1710,5,42,4,6,4,151528,45695
19.,87722,278,346,273,10807,67,340,167,1731,5,34,2,1,6,158151,47715
20.,87401,287,406,309,10984,68,357,188,1764,4,42,5,3,4,164628,49710
21.,87148,346,428,343,11062,79,383,211,1783,4,43,2,3,3,170983,51594
22.,86791,380,453,392,11250,86,408,240,1821,4,39,3,5,5,177233,53461
23.,86242,396,510,441,11608,90,457,256,1843,9,43,2,4,2,183358,55345
24.,85858,420,567,499,11748,121,511,276,1824,3,39,4,6,5,189111,57181
25.,85483,489,593,565,11891,106,553,320,1807,3,41,4,7,3,194998,58915
26.,85146,525,637,641,11998,97,596,360,1793,8,40,5,2,5,200807,60556
27.,85010,583,675,709,11867,123,641,392,1793,2,33,6,7,3,206680,62131
28.,84481,615,749,794,12150,103,687,421,1794,5,40,6,5,2,212164,63658
29.,83910,647,865,861,12396,124,724,473,1779,8,43,5,6,5,217457,65194
30.,83412,701,884,971,12559,162,788,523,1777,10,36,5,5,7,222560,66683
31.,82789,776,947,1100,12837,163,833,555,1810,9,32,6,7,2,227822,68070
32.,82410,841,1041,1207,12834,169,861,637,1825,8,33,5,8,5,232765,69452
33.,81996,882,1126,1322,12846,176,946,706,1781,10,27,6,2,2,237620,70849
34.,81339,903,1206,1470,13089,203,1026,764,1788,12,24,3,11,1,242527,72257
35.,80752,971,1316,1633,13216,192,1095,825,1801,12,28,2,7,2,247500,73551
36.,80422,1022,1382,1797,13106,178,1185,908,1807,9,36,11,10,3,252210,74701
37.,80014,1058,1431,1982,13059,205,1269,982,1811,8,29,5,11,3,256641,75611
38.,79530,1162,1509,2153,13009,214,1351,1072,1854,12,42,9,9,3,261344,76555
39.,78744,1224,1611,2349,13225,236,1430,1181,1871,11,28,4,10,3,266116,77616
40.,78019,1293,1736,2592,13388,236,1481,1255,1866,10,28,7,8,0,270502,78568
41.,77515,1370,1876,2790,13230,272,1557,1390,1867,6,40,7,13,4,274781,79454
42.,76734,1434,1969,3042,13391,276,1661,1493,1877,8,23,4,12,4,278943,80436
43.,76056,1577,2022,3293,13381,278,1761,1632,1872,13,36,10,5,2,283003,81263
44.,75295,1650,2171,3574,13447,277,1859,1727,1872,17,32,6,10,5,287073,82049
