# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '18' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-57-18.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '56' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '500.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "596622430"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99593,31,88,0,272,0,16,0,272,1104,24,7,0,329,496,0
2.,99277,56,81,0,553,0,33,0,525,1954,44,19,1,544,1002,0
3.,98976,73,90,1,820,0,40,0,713,2683,59,29,3,786,1524,0
4.,98673,85,119,2,1076,0,44,1,894,3465,73,47,8,963,2036,0
5.,98366,101,131,5,1338,1,54,4,1024,4510,87,52,14,1201,2500,0
6.,98076,127,139,13,1569,1,70,5,1156,5552,109,71,15,1413,2987,0
7.,97775,134,163,17,1810,1,90,10,1273,6592,127,85,20,1679,3480,0
8.,97472,157,183,25,2045,1,100,17,1347,7752,132,109,27,1822,3952,0
9.,97199,195,207,34,2224,2,114,25,1405,9039,162,137,35,1925,4447,0
10.,96911,213,237,45,2426,2,131,35,1441,10239,167,159,45,2034,4936,0
11.,96623,247,276,61,2600,3,153,37,1445,11693,201,176,57,2123,5403,0
12.,96347,283,314,80,2758,4,167,47,1495,13346,237,223,67,2134,5880,0
13.,96103,305,339,108,2892,5,182,66,1586,15369,244,239,89,2211,6380,0
14.,95760,350,374,134,3085,4,218,75,1614,17341,306,266,117,2257,6875,0
15.,95476,373,437,154,3216,3,243,98,1649,19659,333,319,151,2279,7338,0
16.,95131,432,486,195,3357,5,276,118,1660,22209,391,379,167,2329,7783,0
17.,94783,481,550,222,3501,2,310,151,1712,25056,431,430,196,2448,8270,0
18.,94442,556,637,256,3585,3,341,180,1735,28252,497,525,229,2481,8725,0
19.,94062,616,703,311,3705,2,394,207,1770,31847,563,599,280,2517,9226,0
20.,93680,701,779,375,3792,4,416,253,1787,35856,619,707,344,2506,9720,0
21.,93187,802,900,431,3921,5,463,291,1807,39946,767,818,420,2546,10225,0
22.,92721,868,1019,517,4016,3,520,336,1833,45123,865,973,508,2593,10710,0
23.,92135,1033,1129,600,4127,5,583,388,1856,50591,1022,1167,603,2606,11198,0
24.,91515,1181,1255,703,4238,6,660,442,1883,56577,1156,1407,768,2646,11668,0
25.,90878,1323,1413,810,4316,5,749,506,1900,63417,1351,1654,959,2661,12214,0
26.,90229,1452,1588,931,4380,7,839,574,1893,70741,1546,1999,1157,2697,12711,0
27.,89579,1561,1803,1084,4400,7,920,646,1873,79011,1714,2376,1434,2716,13174,0
28.,88848,1711,1984,1250,4445,11,1013,738,1899,88558,2000,2833,1756,2656,13660,0
29.,87973,1900,2190,1428,4502,14,1158,835,1885,98599,2270,3289,2159,2638,14203,0
30.,86990,2098,2399,1653,4611,25,1277,947,1938,109343,2587,3886,2691,2743,14656,0
31.,86031,2257,2705,1906,4654,21,1366,1060,1947,120362,2901,4533,3372,2765,15182,0
32.,85027,2447,2942,2164,4682,25,1520,1193,1914,132588,3319,5258,4106,2834,15685,0
33.,83903,2704,3265,2451,4644,26,1655,1352,1916,145692,3844,6203,5064,2794,16215,0
34.,82678,2992,3594,2746,4616,23,1853,1498,1907,159513,4355,7454,6194,2816,16706,0
35.,81222,3332,3918,3125,4635,27,2047,1694,1893,174565,5123,8844,7496,2811,17209,0
36.,79763,3595,4317,3539,4633,28,2269,1856,1905,190482,5780,10369,9130,2773,17716,0
37.,78179,3932,4642,3991,4649,28,2511,2068,1930,206852,6600,12224,11106,2812,18227,0
38.,76568,4233,5069,4479,4638,29,2686,2298,1940,223504,7523,14373,13480,2758,18732,0
39.,74839,4564,5475,5029,4603,32,2909,2549,1942,240733,8472,16751,16336,2794,19257,0
40.,72985,4870,5934,5622,4585,41,3167,2796,1947,257840,9536,19505,19824,2893,19755,0
41.,71042,5101,6472,6274,4567,45,3432,3067,1974,276319,10766,22492,23770,2895,20251,0
42.,68988,5398,6935,6981,4555,43,3737,3363,1946,294430,11991,25813,28473,2918,20758,0
43.,66863,5724,7434,7728,4517,44,3985,3705,1922,312432,13346,29591,33844,2926,21268,0
44.,64612,6048,7886,8574,4477,49,4340,4014,1921,330073,14852,33741,40195,3021,21772,0
45.,62374,6332,8367,9456,4382,56,4671,4362,1903,346915,16479,38332,47518,3074,22277,0
46.,60116,6488,8903,10385,4312,49,5006,4741,1891,362645,17764,43513,55780,3166,22776,0
47.,57818,6632,9381,11383,4246,48,5276,5216,1915,377264,19035,48910,65547,3241,23283,0
48.,55500,6744,9825,12473,4193,47,5622,5596,1891,390852,20468,54363,76025,3249,23775,0
49.,53218,6774,10203,13621,4136,47,5954,6047,1892,402617,21455,59990,87510,3294,24271,0
