PTTI 5 Targeted TTI											
Economic											
	Total_NHS_Costs	1513131354.32703									
	Total_Productivity_Loss	601643571428.5215									
Medical											
	Cases	18231079.98313014									
	Deaths	206310.7875492413									
	Hospital	270415.0646366308									
	ICU	47720.30552411132									
Testing											
	Laboratories	1	9	9	9	9					
	Max_Laboratories	9									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	2435500.10329533	111361908.65599196	213523135.50652876	135720745.88322854	211338404.21927285					
	Testing_Total_Costs	674379694.3683174									
Tracing											
	Max_Supervisors	17603									
	Max_Tracers	880142									
	Tracers	0	26653	34433	7258	15186	158319	831391	880142	533851	185872
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	2203446709.0	872750499.0	86209974.0	148072158.0	10452721057.0	56472948223.0	10763881726.0	4461610653.0	1668715826.3999999
	Tracing_Total_Costs	87183914075.4									
