Economic											
	Total_NHS_Costs	1618773659.954503									
	Total_Productivity_Loss	4829876546.606695									
Medical											
	Deaths	197058.14496840048									
Testing											
	Laboratories	1	2	1	1	1					
	Max_Laboratories	2									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	1888400	3490400	1764000	1764000	1724800					
	Testing_Total_Costs	10631600									
Tracing											
	Max_Supervisors	70836									
	Max_Tracers	3541777									
	Tracers	0	270050	3541777	151259	2	1	1	1	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	22153642350.0	270381405781.0	2314665027.0	1134406656.0	1134398853.0	1134398853.0	1134398853.0	1134398853.0	1083981126.2
	Tracing_Total_Costs	301659253602.2									
