PTTI Scenario 4b Trig											
Economic											
	Total_NHS_Costs	1598708131.4720438									
	Total_Productivity_Loss	857034817866.7765									
Medical											
	Cases	24135698.4083876									
	Deaths	197093.7166978034									
	Hospital	258334.0928190176									
	ICU	45588.3693210031									
Testing											
	Laboratories	1	1	1	1	1					
	Max_Laboratories	1									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	1888800	1602000	1602000	1602000	1566400					
	Testing_Total_Costs	8261200									
Tracing											
	Max_Supervisors	16167									
	Max_Tracers	808323									
	Tracers	0	269210	689791	808323	611404	257647	112456	53018	4553	85
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	22084861430.0	36677471023.0	15334075869.0	5044139712.0	2283773841.0	1150848468.0	687053754.0	308881359.0	261838997.0
	Tracing_Total_Costs	83886501703.0									
