Economic											
	Total_NHS_Costs	676329171.6142695									
	Total_Productivity_Loss	2017938940.1835861									
Medical											
	Deaths	82331.56694066097									
Testing											
	Laboratories	1	1	1	1	1					
	Max_Laboratories	1									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	1888400	1602000	1602000	1602000	1566400					
	Testing_Total_Costs	8260800									
Tracing											
	Max_Supervisors	3771									
	Max_Tracers	188502									
	Tracers	0	188502	76328	132	3	1	1	1	1	1
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	15469563606.0	673704684.0	79147296.0	78140709.0	78125103.0	78125103.0	78125103.0	78125103.0	74652876.2
	Tracing_Total_Costs	16741266833.2									
