PTTI Scenario Targeted PTTI 50% Tracing Success Face Coverings Lockdown Triggers											
Economic											
	Total_NHS_Costs	616503331.5227729									
	Total_Productivity_Loss	1273196571428.5405									
Medical											
	Cases	7427988.002969301									
	Deaths	84058.32546491842									
	Hospital	110176.67948370185									
	ICU	19442.943438300324									
Testing											
	Laboratories	1	9	9	9	9					
	Max_Laboratories	9									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	4411245.31969762	133019318.55501683	213373003.9096618	136764677.236872	216870279.99829018					
	Testing_Total_Costs	704438525.0195384									
Tracing											
	Max_Supervisors	5654									
	Max_Tracers	282659									
	Tracers	0	28853	282659	92747	61312	60001	58150	60083	61047	60704
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	2383771909.0	21056419527.0	831479391.0	586192086.0	575962353.0	561519000.0	576602199.0	584124291.0	555605734.8
	Tracing_Total_Costs	27765233740.8									
