PTTI Scenario Untargeted PTTI 0% Tracing Success Face Coverings Lockdown Triggers											
Economic											
	Total_NHS_Costs	577559334.3505689									
	Total_Productivity_Loss	1105619428571.3896									
Medical											
	Cases	6958768.245359417									
	Deaths	78748.43171118927									
	Hospital	103216.9112637022									
	ICU	18214.749046535682									
Testing											
	Laboratories	9	261	261	261	261					
	Max_Laboratories	261									
	Testing_Block_Lengths	180	180	180	180	176					
	Testing_Costs	34998452.93248521	5211321988.046281	7705228568.205734	7704843390.884537	7533968896.003354					
	Testing_Total_Costs	28190361296.07239									
Tracing											
	Max_Supervisors	5842									
	Max_Tracers	292098									
	Tracers	0	16528	292098	57598	115795	89418	116394	114934	54355	115784
	Tracing_Block_Lengths	90	90	90	90	90	90	90	90	90	86
	Tracing_Costs	53557250.0	1373496884.0	22740240644.0	560172744.0	1014283935.0	808464204.0000001	1018957932.0000001	1007565552.0000001	534867615.0	969122630.8000001
	Tracing_Total_Costs	30080729390.8									
