date,cum_diagnoses,cum_deaths
21/1/2020,0,0
22/1/2020,0,0
23/1/2020,0,0
24/1/2020,0,0
25/1/2020,0,0
26/1/2020,0,0
27/1/2020,0,0
28/1/2020,0,0
29/1/2020,0,0
30/1/2020,0,0
31/1/2020,1,0
1/2/2020,2,0
2/2/2020,2,0
3/2/2020,2,0
4/2/2020,2,0
5/2/2020,9,0
6/2/2020,9,0
7/2/2020,9,0
8/2/2020,9,0
9/2/2020,11,0
10/2/2020,11,0
11/2/2020,13,0
12/2/2020,14,0
13/2/2020,15,0
14/2/2020,16,0
15/2/2020,17,0
16/2/2020,18,0
17/2/2020,19,0
18/2/2020,19,0
19/2/2020,20,0
20/2/2020,20,0
21/2/2020,21,0
22/2/2020,21,0
23/2/2020,26,0
24/2/2020,27,0
25/2/2020,32,0
26/2/2020,36,0
27/2/2020,43,0
28/2/2020,56,0
29/2/2020,60,0
1/3/2020,97,0
2/3/2020,144,0
3/3/2020,206,0
4/3/2020,264,0
5/3/2020,320,0
6/3/2020,407,0
7/3/2020,463,0
8/3/2020,522,0
9/3/2020,671,0
10/3/2020,938,7
11/3/2020,1372,7
12/3/2020,1873,9
13/3/2020,2336,9
14/3/2020,2710,25
15/3/2020,3183,42
16/3/2020,3832,65
17/3/2020,4638,84
18/3/2020,5721,122
19/3/2020,6828,171
20/3/2020,8114,210
21/3/2020,9344,277
22/3/2020,10778,334
23/3/2020,13176,398
24/3/2020,15575,501
25/3/2020,18267,551
26/3/2020,21373,687
27/3/2020,24527,902
28/3/2020,27354,1212
29/3/2020,30249,1460
30/3/2020,34391,1674
31/3/2020,38957,2127
1/4/2020,43698,2796
2/4/2020,48463,3473
3/4/2020,53259,4286
4/4/2020,57215,5128
5/4/2020,60807,5866
6/4/2020,65900,6388
7/4/2020,71162,7323
8/4/2020,76107,8438
9/4/2020,80777,9485
10/4/2020,84905,10651
11/4/2020,88395,11741
12/4/2020,91512,12618
13/4/2020,95398,13470
14/4/2020,99388,14395
15/4/2020,103709,15300
16/4/2020,107807,16232
17/4/2020,111862,17330
18/4/2020,114875,18387
19/04/2020,117328,19095
20/04/2020,120991,19629
21/04/2020,124510,20613
22/04/2020,127741,21520
23/04/2020,130845,22279
24/04/2020,133818,23192
25/04/2020,135390,24519
26/04/2020,135065,24650
27/04/2020,136088,25078
