date,cum_diagnoses,cum_deaths
15/02/2020,0,0
16/02/2020,0,0
17/02/2020,0,0
18/02/2020,0,0
19/02/2020,0,0
20/02/2020,0,0
21/02/2020,0,0
22/02/2020,0,0
23/02/2020,3,0
24/02/2020,6,0
25/02/2020,9,0
26/02/2020,12,0
27/02/2020,15,0
28/02/2020,19,0
29/02/2020,22,0
01/03/2020,35,0
02/03/2020,38,0
03/03/2020,50,0
04/03/2020,86,0
05/03/2020,115,2
06/03/2020,163,4
07/03/2020,208,4
08/03/2020,277,6
09/03/2020,320,9
10/03/2020,382,11
11/03/2020,459,15
12/03/2020,589,19
13/03/2020,797,21
14/03/2020,1139,39
15/03/2020,1390,81
16/03/2020,1542,122
17/03/2020,1949,152
18/03/2020,2625,216
19/03/2020,3268,297
20/03/2020,3982,365
21/03/2020,5018,470
22/03/2020,5683,536
23/03/2020,6650,675
24/03/2020,8077,955
25/03/2020,9529,1304
26/03/2020,9849,1648
27/03/2020,14543,2182
28/03/2020,17089,2734
29/03/2020,19522,3136
30/03/2020,22141,3839
31/03/2020,25150,4557
01/04/2020,29474,5816
02/04/2020,33718,7041
03/04/2020,38168,8382
04/04/2020,41903,9811
05/04/2020,47806,11021
06/04/2020,51608,12088
07/04/2020,55242,14038
08/04/2020,60733,15981
09/04/2020,65077,18054
10/04/2020,73758,20219
11/04/2020,78991,21795
12/04/2020,84279,23084
13/04/2020,88621,24482
14/04/2020,93873,26444
15/04/2020,98476,28026
16/04/2020,103093,29960
17/04/2020,108692,31716
18/04/2020,114217,33812
19/04/2020,120067,34747
20/04/2020,124743,35798
21/04/2020,129044,38000
22/04/2020,133495,39573
23/04/2020,138078,40939
24/04/2020,143464,42827
25/04/2020,148377,43904
26/04/2020,152840,45201
27/04/2020,157149,45836
28/04/2020,161145,46000
29/04/2020,165221,47100
30/04/2020,171253,48100
01/05/2020,177454,48500
02/05/2020,182260,49595
03/05/2020,186599,50500
04/05/2020,190584,52000
05/05/2020,194990,53800
06/05/2020,201101,54300
07/05/2020,206715,55000
